diff_id,language,anchor,synonym,antonym,gold_word_count,bertscore_syn,bertscore_ant,bertscore_delta
227,cpp,allow,permit,forbid,8,0.9770374298095703,0.9701982736587524,0.006839156150817871
634,cpp,add,insert,remove,13,0.9780001640319824,0.991047739982605,-0.013047575950622559
932,cpp,add,insert,remove,15,0.9907633662223816,0.9923343658447266,-0.0015709996223449707
932,cpp,disable,block,enable,15,0.9711527824401855,0.9889732003211975,-0.017820417881011963
932,cpp,create,build,destroy,15,0.9898890852928162,0.9885751008987427,0.0013139843940734863
1558,cpp,adding,inserting,removing,6,0.9778829216957092,0.9842069745063782,-0.006324052810668945
2427,cpp,added,inserted,removed,13,0.9895493388175964,0.9889020323753357,0.0006473064422607422
2909,cpp,remove,delete,insert,10,0.9966058731079102,0.9911864995956421,0.005419373512268066
3149,cpp,added,inserted,removed,13,0.9845797419548035,0.9941663146018982,-0.009586572647094727
4054,cpp,add,insert,remove,7,0.9828082323074341,0.9858106374740601,-0.0030024051666259766
4103,cpp,adds,inserts,removes,7,0.9741830229759216,0.9699894189834595,0.004193603992462158
4442,cpp,add,insert,remove,7,0.982280433177948,0.9877349138259888,-0.0054544806480407715
4496,cpp,added,inserted,removed,13,0.9846858382225037,0.9848127365112305,-0.00012689828872680664
4496,cpp,allow,permit,forbid,13,0.9864614009857178,0.9841867685317993,0.002274632453918457
5010,cpp,remove,delete,insert,8,0.9882617592811584,0.9856048822402954,0.002656877040863037
5208,cpp,include,contain,exclude,7,0.986674964427948,0.9926109910011292,-0.005936026573181152
5697,cpp,add,insert,remove,10,0.9881476163864136,0.991061270236969,-0.00291365385055542
5709,cpp,remove,delete,insert,7,0.984499454498291,0.9679782390594482,0.016521215438842773
5709,cpp,includes,contains,excludes,7,0.985564112663269,0.9814124703407288,0.004151642322540283
5971,cpp,added,inserted,removed,9,0.9888756275177002,0.9944906234741211,-0.0056149959564208984
6312,cpp,disable,block,enable,6,0.9834100008010864,0.9965205788612366,-0.013110578060150146
6449,cpp,add,insert,remove,6,0.9944229125976562,0.9911700487136841,0.003252863883972168
6547,cpp,add,insert,remove,10,0.9900738000869751,0.9936603307723999,-0.0035865306854248047
7572,cpp,adding,inserting,removing,14,0.9907708764076233,0.9803825616836548,0.010388314723968506
