diff_id,language,anchor,synonym,disjoint,kind,bleu_syn,bleu_dis,bleu_delta,rougeL_syn,rougeL_dis,rougeL_delta,chrf_syn,chrf_dis,chrf_delta,meteor_syn,meteor_dis,meteor_delta,bertscore_syn,bertscore_dis,bertscore_delta,entail_syn,entail_dis,entail_delta,signed_syn,signed_dis,signed_delta
1118,cpp,errors,exceptions,warnings,diagnostic,0.8539491723727965,0.8539491723727965,0.0,0.9230769230769231,0.9230769230769231,0.0,0.9026929837671201,0.89395556865218,0.008737415114940195,0.9425029515938607,0.9425029515938607,0.0,0.9892803430557251,0.9919047355651855,-0.0026243925094604492,0.10790388286113739,0.011949404142796993,0.0959544787183404,0.08637483790516853,-0.06332470569759607,0.1496995436027646
1382,cpp,test,check,config,infrastructure,0.6434588841607617,0.6434588841607617,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8613937176316244,0.8544926591715393,0.006901058460085152,0.8412698412698414,0.8412698412698414,0.0,0.9773339033126831,0.9688932299613953,0.008440673351287842,0.991510808467865,0.44144997000694275,0.5500608384609222,0.9902963471831754,0.10326915979385376,0.8870271873893216
2663,cpp,warning,alert,error,diagnostic,0.7825422900366438,0.7825422900366438,0.0,0.875,0.875,0.0,0.7980036037338265,0.7906117070977337,0.007391896636092854,0.8066666666666668,0.8066666666666668,0.0,0.9924392700195312,0.984096109867096,0.008343160152435303,0.94175124168396,0.3938252925872803,0.5479259490966797,0.8945224918425083,-0.001398921012878418,0.8959214128553867
3149,cpp,class,type,module,close_entity,0.8423626743789745,0.8423626743789745,0.0,0.9166666666666666,0.9166666666666666,0.0,0.907922182242016,0.9046288231653822,0.0032933590766338616,0.920940170940171,0.920940170940171,0.0,0.9894047975540161,0.9923200011253357,-0.00291520357131958,0.3432183265686035,0.16258500516414642,0.1806333214044571,0.08044624328613281,-0.3927070051431656,0.4731532484292984
3169,cpp,input,entry,output,directional,0.7691605673134587,0.7691605673134587,0.0,0.9166666666666666,0.9166666666666666,0.0,0.8823907687580196,0.9229993769370931,-0.040608608179073524,0.9139118457300276,0.9139118457300276,0.0,0.9916391372680664,0.9921706914901733,-0.0005315542221069336,0.959975004196167,0.001632722676731646,0.9583422815194353,0.9399463888257742,-0.9910517608514056,1.9309981496771798
3431,cpp,warnings,alerts,errors,diagnostic,0.8153551038173119,0.8153551038173119,0.0,0.9285714285714286,0.9285714285714286,0.0,0.8776222469112721,0.8753881089796594,0.0022341379316127563,0.9363888888888889,0.9363888888888889,0.0,0.985439658164978,0.992835283279419,-0.007395625114440918,0.9008102416992188,0.6612841486930847,0.23952609300613403,0.8973854540381581,0.6602381913689896,0.2371472626691684
4496,cpp,function,method,variable,close_entity,0.7910665071754353,0.7910665071754353,0.0,0.9,0.9,0.0,0.7992958089415193,0.789638081091684,0.009657727849835318,0.920940170940171,0.920940170940171,0.0,0.9951976537704468,0.9888616800308228,0.0063359737396240234,0.7504623532295227,0.2717285752296448,0.47873377799987793,0.7004369981586933,0.16312380135059357,0.5373131968080997
4759,cpp,test,check,config,infrastructure,0.8003203203845001,0.8003203203845001,0.0,0.9285714285714286,0.9285714285714286,0.0,0.9081803157139022,0.9034144984777646,0.0047658172361376705,0.9319727891156462,0.9319727891156462,0.0,0.9855504631996155,0.9839162826538086,0.0016341805458068848,0.9561859369277954,0.001980002736672759,0.9542059341911227,0.9547769614728168,0.0007845539366826415,0.9539924075361341
4905,cpp,error,exception,warning,diagnostic,0.8423626743789745,0.8423626743789745,0.0,0.875,0.875,0.0,0.8159924588042535,0.7986148862068273,0.017377572597426227,0.920940170940171,0.920940170940171,0.0,0.9892945289611816,0.9903830885887146,-0.001088559627532959,0.9961466789245605,0.4835486114025116,0.512598067522049,0.9956354376045056,0.48036615340970457,0.515269284194801
5032,cpp,functions,methods,variables,close_entity,0.9036020036098446,0.9036020036098446,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8647767967267777,0.856411971380882,0.008364825345895666,0.9073691460055096,0.9163223140495868,-0.008953168044077198,0.9916514754295349,0.9864732623100281,0.005178213119506836,0.8769851922988892,0.11415105313062668,0.7628341391682625,0.8573479652404785,-0.4539265111088753,1.3112744763493538
5032,cpp,methods,functions,attributes,close_entity,0.7348889200874659,0.7348889200874659,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8582139505481792,0.8554063195619074,0.002807630986271792,0.9139118457300276,0.9139118457300276,0.0,0.9904045462608337,0.9868672490119934,0.003537297248840332,0.7342880964279175,0.19357793033123016,0.5407101660966873,0.6571039333939552,-0.20784510672092438,0.8649490401148796
5400,cpp,methods,functions,attributes,close_entity,0.9121679090703875,0.9121679090703875,0.0,0.9166666666666666,0.9166666666666666,0.0,0.8933178686492937,0.890572742505353,0.002745126143940735,0.9228098290598291,0.9228098290598291,0.0,0.9909505844116211,0.9889052510261536,0.0020453333854675293,0.8531264662742615,0.7905802726745605,0.06254619359970093,0.8442733157426119,0.7731856480240822,0.0710876677185297
5971,cpp,tests,checks,configs,infrastructure,0.7910665071754353,0.7910665071754353,0.0,0.9090909090909091,0.9090909090909091,0.0,0.8793314680667025,0.8732259598411037,0.006105508225598744,0.8819444444444444,0.8819444444444444,0.0,0.9899871349334717,0.980309247970581,0.009677886962890625,0.9938679337501526,0.08215349912643433,0.9117144346237183,0.9926774463383481,-0.6914367079734802,1.6841141543118283
7572,cpp,warning,alert,error,diagnostic,0.7825422900366432,0.7825422900366432,0.0,0.9230769230769231,0.9230769230769231,0.0,0.7989903816651516,0.7954138404179875,0.003576541247164111,0.9268808114961962,0.9268808114961962,0.0,0.9883199334144592,0.9865484237670898,0.0017715096473693848,0.9939137101173401,0.917521595954895,0.07639211416244507,0.9922820122446865,0.8875860590487719,0.10469595319591463
8542,cpp,warnings,alerts,errors,diagnostic,0.4889230224349009,0.4889230224349009,0.0,0.8571428571428571,0.8571428571428571,0.0,0.7942666815801624,0.7906117070977337,0.0036549744824287966,0.8412698412698414,0.8412698412698414,0.0,0.9897149801254272,0.99072265625,-0.001007676124572754,0.9961215853691101,0.991626501083374,0.004495084285736084,0.9955581274116412,0.9906780751771294,0.0048800522345118225
8543,cpp,tests,checks,configs,infrastructure,0.7611606003349888,0.7611606003349888,0.0,0.9,0.9,0.0,0.8948759634135981,0.889483055484246,0.005392907929352098,0.920940170940171,0.920940170940171,0.0,0.9893009662628174,0.9782626628875732,0.01103830337524414,0.9734415411949158,0.3134068548679352,0.6600346863269806,0.9711684198118746,0.10271772742271423,0.8684506923891604
8982,cpp,class,type,module,close_entity,0.8003203203845001,0.8003203203845001,0.0,0.9166666666666666,0.9166666666666666,0.0,0.9074376115432982,0.904911361061052,0.002526250482246195,0.9319727891156462,0.9319727891156462,0.0,0.9913949966430664,0.9928103685379028,-0.0014153718948364258,0.9326584339141846,0.25152114033699036,0.6811372935771942,0.9262342238798738,-0.2965262830257416,1.2227605069056153
9122,cpp,warning,alert,error,diagnostic,0.5946035575013611,0.5946035575013611,0.0,0.8333333333333334,0.8333333333333334,0.0,0.7989903816651516,0.7954138404179875,0.003576541247164111,0.864795918367347,0.864795918367347,0.0,0.991406261920929,0.9886454343795776,0.0027608275413513184,0.9860504269599915,0.8333567380905151,0.15269368886947632,0.9837865023873746,0.8114043623209,0.17238214006647468
9196,cpp,log,trace,output,infrastructure,0.5969491792019644,0.5969491792019644,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8229669749558637,0.8227006413982759,0.00026633355758776123,0.8819444444444444,0.8819444444444444,0.0,0.9793126583099365,0.9759067893028259,0.0034058690071105957,0.9692012071609497,0.9861816167831421,-0.016980409622192383,0.9621538165956736,0.98343555489555,-0.02128173829987645
